cnpj_clean,emissor,cidade,uf,rota,rota_tag,cohort,X,Y,neea_t0_2022,neea_t1_2023,neea_t2_2026,neea_first,neea_first_origin,delta_neea,vol_pct_t0_2022,vol_pct_t1_2023,vol_pct_t2_2026,vol_pct_first,vol_pct_first_origin,delta_vol_pct,status_t0_2022,status_t1_2023,status_t2_2026,motivo_t0_2022,motivo_t1_2023,motivo_t2_2026,processo_t0_2022,processo_t1_2023,processo_t2_2026,observable_t0_2022,observable_t1_2023,observable_t2_2026
00297598000122,DESTILARIA DE ÁLCOOL LIBRA LTDA. - SÃO JOSÉ DO RIO CLARO - MT,SÃO JOSÉ DO RIO CLARO,MT,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,4726601.98423902,8470976.23214683,47.19,47.19,39.17,47.19,t0_2022,-8.019999999999996,67.56,67.56,66.16,67.56,t0_2022,-1.4000000000000057,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.207920/2019-13,48610.207920/2019-13,48610.222034/2024-87,True,True,True
00372496000124,Central Energética Vale do Sapucaí Ltda. - Patrocínio Paulista - SP,Patrocínio Paulista,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5683831.09458151,7690204.52935748,55.7,54.14,55.51,55.7,t0_2022,-0.19000000000000483,94.63,92.14,90.31,94.63,t0_2022,-4.319999999999993,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.214877/2019-42,48610.233075/2022-37,48610.226779/2025-04,True,True,True
00595322000120,DENUSA DESTILARIA NOVA UNIÃO S/A - Jandaia - GO,Jandaia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5409973.4560416,8087852.68291427,64.3,67.46,68.08,64.3,t0_2022,3.780000000000001,87.16,88.4,85.61,87.16,t0_2022,-1.5499999999999972,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.213994/2019-99,48610.218118/2022-54,"48610.229099/2025-34,",True,True,True
01105558000102,WD AGROINDUSTRIAL LTDA - João Pinheiro - MG,João Pinheiro,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5846982.93235041,7966338.47292695,68.5,62.85,68.5,68.5,t0_2022,0.0,92.11,94.26,92.11,92.11,t0_2022,0.0,valido,valido,cancelado,sem_motivo,sem_motivo,renovacao,48610.222095/2019-87,48610.233070/2022-12,48610.222095/2019-87,True,True,True
02043917000107,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,Rio Verde,GO,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,5310460.5809602,8057054.40652174,45.99,45.99,54.17,45.99,t0_2022,8.18,87.08,87.08,83.3,87.08,t0_2022,-3.780000000000001,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.211013/2020-11,48610.211013/2020-11,48610.209894/2024-25,True,True,True
02414858000470,Vale Verde Empreendimentos Agrícolas Ltda. Em Recuperação Judicial - Itapaci - GO,Itapaci,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5479817.78534701,8338262.39698919,62.3,50.36,60.63,62.3,t0_2022,-1.6699999999999946,98.44,79.67,78.35,98.44,t0_2022,-20.090000000000003,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219055/2019-58,48610.215953/2023-13,48610.200582/2024-56,True,True,True
02460988000105,USINA GOIANÉSIA S/A - EM RECUPERAÇÃO JUDICIAL - Goianésia - GO,Goianésia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2023,5526539.61558435,8311157.15201518,,62.1,63.03,62.1,t1_2023,0.9299999999999997,,97.98,99.91,97.98,t1_2023,1.9299999999999926,,valido,valido,,sem_motivo,sem_motivo,,48610.224772/2021-16,48610.229566/2024-45,False,True,True
02635522000195,JALLES MACHADO S.A. - Matriz - Goianésia - GO,Goianésia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5538381.62495406,8311260.58537639,70.1,72.26,67.67,70.1,t0_2022,-2.4299999999999926,100.0,99.88,95.23,100.0,t0_2022,-4.769999999999996,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.200111/2020-14,48610.219326/2022-71,48610.224191/2025-16,True,True,True
02635522004930,JALLES MACHADO S.A. - Unidade Otavio Lage - Goianésia - GO,Goianésia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5504657.33191542,8326472.95099455,61.7,70.36,68.98,61.7,t0_2022,7.280000000000001,100.0,100.0,82.41,100.0,t0_2022,-17.590000000000003,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.200112/2020-69,48610.219328/2022-60,48610.224504/2024-47,True,True,True
02678100000105,LASA LAGO AZUL S.A. - Ipameri - GO,Ipameri,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5670837.07069855,8080207.95905736,51.23,51.23,50.63,51.23,t0_2022,-0.5999999999999943,100.0,100.0,100.0,100.0,t0_2022,0.0,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219877/2020-72,48610.219877/2020-72,48610.219798/2024-95,True,True,True
